Model,Release_date,Max_resolution,Low_resolution,Effective_pixels,Zoom_wide_W,Zoom_tele_T,Normal_focus_range,Macro_focus_range,Storage_included,Weight_inc._batteries,Dimensions,Price
234,2006,2848.0,2048.0,6.0,36.0,108.0,50.0,10.0,12.0,195.0,93.0,169.0
235,2007,2848.0,2048.0,6.0,39.0,117.0,60.0,10.0,10.0,195.0,98.0,169.0
236,2007,3296.0,2304.0,8.0,36.0,108.0,50.0,10.0,10.0,200.0,98.0,169.0
237,2007,3296.0,2304.0,8.0,39.0,156.0,60.0,10.0,10.0,205.0,98.0,169.0
238,2007,3488.0,2048.0,9.0,39.0,156.0,60.0,10.0,10.0,205.0,98.0,169.0
239,2007,3488.0,2592.0,9.0,39.0,156.0,60.0,10.0,10.0,206.0,98.0,169.0
240,2004,2304.0,1600.0,4.0,28.0,91.0,60.0,6.0,16.0,226.0,101.0,169.0
241,2004,2592.0,2048.0,5.0,28.0,91.0,60.0,2.0,16.0,226.0,101.0,169.0
242,2004,4048.0,2048.0,6.0,32.0,130.0,60.0,7.0,16.0,260.0,105.0,169.0
243,2005,3488.0,2592.0,9.0,32.0,128.0,60.0,7.0,16.0,260.0,102.0,169.0
244,2005,2848.0,2048.0,6.0,36.0,108.0,60.0,8.0,16.0,190.0,92.0,179.0
245,2005,2848.0,2048.0,6.0,36.0,108.0,60.0,5.0,16.0,190.0,92.0,199.0
246,2006,2848.0,2048.0,6.0,36.0,108.0,60.0,5.0,10.0,190.0,94.0,169.0
247,2006,2848.0,2048.0,6.0,36.0,108.0,60.0,5.0,10.0,185.0,93.0,169.0
248,2006,2848.0,2048.0,6.0,36.0,108.0,60.0,5.0,26.0,185.0,93.0,199.0
249,2002,2304.0,1600.0,2.0,38.0,114.0,60.0,10.0,16.0,200.0,85.0,169.0
250,2002,2304.0,1600.0,2.0,39.0,39.0,50.0,6.0,16.0,145.0,77.0,199.0
251,2007,3296.0,2304.0,8.0,36.0,108.0,45.0,7.0,25.0,181.0,96.0,199.0
252,2003,2816.0,2048.0,3.0,38.0,114.0,60.0,10.0,16.0,205.0,85.0,169.0
253,2003,2816.0,2048.0,3.0,36.0,108.0,60.0,8.0,16.0,180.0,77.0,169.0
